,x,y,label
energy storage,7.2553825,-0.65458435,26
exergy,11.183797,7.3332534,-1
gas hydrates,4.438507,9.373071,-1
gases,7.8143005,-2.8581953,1
hydration,7.430675,6.332267,-1
investments,19.32462,9.928403,-1
liquefied natural gas,11.394632,6.126083,15
natural gas transportation,10.29332,6.923,17
offshore oil well production,9.315326,1.5040913,-1
optimization,9.033049,8.022971,45
ships,7.996234,7.59631,46
capital expenditures,9.35965,7.327504,46
economics analysis,10.568404,8.857181,46
energy-consumption,10.36803,5.292939,46
gas storage,12.789291,5.6299953,37
hydrate,7.4479713,6.320552,-1
offshores,10.312427,4.0907683,32
optimisations,9.476138,8.30282,46
pressurized liquefied natural gas,11.438938,6.1375628,15
specific energy consumption,10.256249,5.309197,46
storage technology,10.936362,6.0810857,46
energy utilization,7.6572227,1.9007094,5
biodiesel,-2.5939014,5.84535,-1
compressed air,10.808703,8.312061,24
compressed natural gas,1.4527097,-2.5923328,6
diesel engines,4.953059,-0.1368304,20
economic and social effects,8.376625,7.4106665,46
hydrogen,8.771057,4.4526834,18
hydrogen fuels,7.184697,-2.311743,-1
hydrogenation,10.230521,5.316588,46
nanocatalysts,10.379013,4.120183,32
nitric oxide,11.093138,5.585976,-1
pressure vessels,4.1082306,0.8790171,23
smoke,14.43163,4.676993,-1
combustion engines,10.70965,-4.39571,13
comparatives studies,12.159867,8.395393,46
engine operations,9.009426,6.149533,46
fuel formulation,9.612553,4.84346,46
hydrogen induction,8.75711,4.413948,18
internal combustion,10.585565,-4.5226583,13
karanja,10.311389,4.1112795,32
karanjum biodiesel,-2.5937295,5.8450327,-1
partial hydrogenation,10.229911,5.323438,46
smoke emission,9.067662,3.588831,43
combustion,13.872223,7.3333163,38
gas industry,12.143839,4.480469,11
gases,7.8348646,-2.828261,1
hydrogen production,3.7204525,6.4002337,-1
hydrogen storage,11.453532,1.1079432,-1
natural gas,18.52316,12.595954,7
solar power generation,13.8356285,11.806174,31
energy cooperation,9.224855,9.300854,-1
eu-africa cooperation,9.975796,7.077986,46
gas transmission infrastructure,12.291647,6.180947,-1
green hydrogen,8.832775,4.537386,18
hydrogen blending,8.671916,4.379448,18
north africa,10.174918,5.034391,46
pipeline modeling,11.083908,7.22056,46
production plant,10.911213,5.742491,46
simulation-based analysis,10.812174,7.5157843,46
solar hydrogen,10.3437195,4.00622,46
blending,9.862691,5.454235,46
alternative fuels,11.074245,7.0534286,3
carbon monoxide,11.788669,-10.606182,-1
combustion,13.807882,7.374518,38
compressed natural gas,1.3415848,-2.556075,6
diesel engines,4.940172,-0.1665423,20
direct injection,10.94495,5.2592278,44
economic and social effects,8.376197,7.4111276,46
fuel additives,9.589123,4.620964,46
pollution,8.794818,2.2281911,43
smoke,14.431408,4.6769133,-1
combustion mode,13.603301,7.5481243,38
crdi engine,4.8846216,-0.08544922,20
dual fuel combustion,10.13552,5.162258,46
emission trades,9.075712,3.5590127,43
performance,9.41121,8.574317,46
performance and emissions,13.677898,11.720126,-1
pilot fuel,9.664862,5.354619,46
trade-off study,10.519961,6.0286064,46
transport applications,9.30745,7.189812,46
triacetin,10.403724,4.0839324,32
biodiesel,-2.593752,5.8450575,-1
alcohol,6.0401607,-3.6725774,-1
carbon monoxide,11.749081,-10.609904,-1
chemical composition,10.530676,5.703107,46
combustion,13.884488,7.322201,38
diesel engine,4.9274373,-0.11647348,20
ester,9.866011,4.7260003,46
experimental study,11.570025,7.678405,46
liquefied natural gas,11.388595,6.0741453,15
mixing,9.854447,6.9530115,46
agricultural wastes,9.609715,6.114219,46
biogas,1.7096161,9.218185,-1
compressed natural gas,1.275178,-2.5072548,6
energy security,11.32296,7.5279994,-1
fossil fuels,8.284214,3.7546277,2
methane,7.618551,7.179913,35
natural gas vehicles,15.077247,11.694713,25
regional planning,9.983287,7.587638,46
biomethane,10.214623,3.9785755,32
compressed biogas,1.7392256,9.182764,-1
energy needs,10.997742,4.140615,46
feasibility studies,11.316144,7.6793714,46
future energies,10.848735,5.498797,46
renewables,11.308137,5.295966,46
rural development,9.406121,5.7868843,46
solar pvs,13.997109,11.999214,31
solar/wind,13.888106,11.858047,31
sustainable energy,10.509432,6.0137296,46
developing countries,9.730586,7.2752976,46
building,9.791811,5.996219,46
electricity,9.505598,-0.12964182,-1
feasibility study,11.308653,7.674479,46
fossil fuel,12.570007,4.362665,-1
installation,8.959442,7.0174203,46
methane,7.63871,7.15311,35
natural gas,18.559025,12.47974,7
photovoltaic system,13.91897,11.918943,31
policy making,9.662004,7.473058,46
india,10.444736,4.5106926,46
commerce,-2.7050347,5.211705,-1
compressed air,10.740751,8.257774,24
compressed air energy storage,17.162495,4.958819,9
decision making,9.919026,9.471254,-1
electric energy storage,14.92683,15.783901,-1
electric power generation,11.89727,3.963355,46
operating costs,9.160523,7.592062,46
pressure vessels,4.07617,0.8469276,23
stochastic models,11.509895,7.526819,46
stochastic systems,11.428839,6.69081,46
waste heat,9.087933,1.5555648,-1
wind power,13.467689,8.400391,-1
combined-heat and power,10.734275,2.8148618,46
demand response programs,9.747199,6.446394,46
emission,9.075072,3.5543678,43
energy,10.917522,5.3425198,46
local loads,10.37079,5.557952,46
micro grid,10.73637,5.8515396,46
multi-objectives optimization,9.082771,7.9259744,45
reconfigurable,10.476979,3.9968634,32
reconfigurable microgrid,10.473828,4.139765,32
thermal energy storage,10.704631,3.709951,46
multiobjective optimization,9.047872,8.024539,45
biodiesel,-2.5935857,5.844893,-1
carbon dioxide,11.846717,2.755016,0
compressed natural gas,1.3993175,-2.6087842,6
electrophysiology,10.365143,3.9710479,32
ethanol fuels,7.468543,8.44555,8
global warming,5.135917,1.6712378,14
greenhouse gases,16.115227,8.095903,22
hydrogen fuels,7.2067995,-2.288967,-1
manufacture,10.76286,13.656565,-1
renewable energy resources,15.552271,12.743471,-1
aquatic environments,9.634508,5.5480824,46
bio-based products,10.205963,5.5344043,46
biofuel production,8.2695,6.4240217,46
carbon dioxide emissions,7.4490924,1.85832,-1
energy development,12.056058,6.188168,46
energy productions,10.647399,6.0394845,46
healthy environments,9.651773,5.522563,46
non-renewable fuels,10.535106,5.4280057,46
fossil fuels,8.312539,3.7321136,2
drops,9.717865,4.779778,46
economic analysis,10.580083,8.858599,46
electric power utilization,11.463475,4.463112,46
energy conservation,10.739833,-1.407049,-1
gas fuel purification,9.950796,7.0553966,15
gas plants,5.9651976,6.6502504,-1
gases,7.7947965,-2.8495085,1
genetic algorithms,12.025461,8.838884,46
liquefaction of gases,7.76213,-2.781228,1
liquefied natural gas,11.350949,6.103977,15
natural gas wells,18.491734,12.437144,7
natural gasoline plants,6.873828,2.7335098,16
pollution control,11.647955,6.1186204,34
refrigerants,9.368233,4.159615,46
refrigeration,11.205866,3.6236234,46
ambients,10.209623,4.024481,32
economics analysis,10.546811,8.897227,46
energy productions,10.646896,6.0400796,46
liquefaction process,11.43375,8.05519,39
liquefied natural gas,11.379785,6.1038346,15
mixed refrigerants,9.368154,4.159537,46
natural cold source,18.62393,12.571728,7
natural gas liquefaction,11.362742,6.0851064,15
production increase,10.00987,6.479563,46
specific power consumption,10.361986,5.2960286,46
temperature,9.304284,2.3706853,46
economic and social effects,8.3499155,7.437253,46
energy management,12.090042,6.177041,46
environmental impact,8.006266,5.471609,46
gas fuel purification,9.950787,7.055417,15
liquefied natural gas,11.450924,6.068196,15
recycling,9.055092,5.9412313,46
wetlands,9.528532,5.5592756,46
boil off gas,9.831322,4.786518,46
boil-off gas recycling,9.841577,4.7768717,46
economic and environmental benefit,9.274906,6.9030027,46
energy,10.917938,5.3424726,46
gas utilization,9.645061,4.463511,46
liquefied natural gas,11.36666,6.1458473,15
natural-gas production,12.172898,3.7204442,-1
nitrogen rejection unit,10.223389,5.4068656,46
nitrogen rejection units,10.223434,5.41046,46
process simulations,11.1164055,7.349392,46
gases,7.813308,-2.8552783,1
deformation,10.084169,5.4321623,46
dislocation creep,11.011405,5.7455153,46
dolomite,9.257596,4.566451,46
fractional crystallization,10.843428,5.938695,46
high pressure,9.680125,4.8756633,46
high temperature,9.733166,3.9285314,46
plasticity,10.500234,6.1692386,46
rheology,10.923504,6.271482,46
tectonic setting,9.570863,5.0812607,46
temperature effect,9.7972555,3.949049,46
beijing [china],10.290224,4.7346616,46
china,10.29398,3.6641681,46
fangshan,10.260378,4.030634,32
compressed natural gas,1.239788,-2.465815,6
cooling,10.169349,3.7197318,46
cooling systems,9.990484,3.79119,46
district heating,9.703575,4.1323824,46
energy management,12.091944,6.1770425,46
energy utilization,7.579816,1.8253376,5
housing,9.559165,5.863485,46
liquefied natural gas,11.436089,6.128035,15
model predictive control,10.831657,6.9585757,46
photovoltaic cells,10.3369875,5.5487285,46
predictive control systems,10.745968,6.8686533,46
thermoelectric equipment,10.601435,4.896379,-1
air-to-water heat pump,9.743371,4.682227,46
artificial neural-network based modeling,10.470888,7.0503817,46
district cooling system,9.820408,3.966927,46
electrical energy consumption,11.100875,4.999207,46
multi-energy systems,10.719226,6.016591,46
photovoltaic panels,13.953401,11.950595,31
residential neighborhoods,9.564852,5.865797,46
thermostatically controlled loads,10.510636,6.507882,46
neural networks,10.451536,7.1094995,46
artificial neural network,10.466204,7.0729957,46
control system,10.567724,6.557282,46
cooling,10.169659,3.7206697,46
detection method,10.651596,6.4014907,46
electrical power,11.082182,4.8458805,46
liquefied natural gas,11.383564,6.1014132,15
neighborhood,9.44701,5.7771997,46
photovoltaic system,13.916938,11.915885,31
simulation,11.116929,7.281307,46
air,10.291212,6.208944,34
compressed air motors,10.832656,8.335874,24
cryogenic energy storage,7.3776555,-0.5277805,26
economic analysis,10.5863695,8.842175,46
electric power transmission networks,12.554329,6.1534247,-1
energy efficiency,18.989923,5.368014,21
fossil fuel power plants,12.347127,1.468029,-1
gas compressors,7.2305584,5.119378,-1
liquefied natural gas,11.370703,6.0953765,15
natural gasoline plants,6.859237,2.7155783,16
steam power plants,11.179618,5.6265836,46
temperature,9.247942,2.310064,46
thermoanalysis,10.372974,4.1547203,32
wind turbines,15.00357,7.667972,-1
discharging process,10.283629,6.364299,46
gas steam combined cycles,11.018038,5.0174923,46
integrated systems,10.625907,6.372738,46
liquified natural gas,11.363886,6.106923,15
peak load regulations,10.299956,5.58342,46
temperature increase,9.676482,3.63094,46
thermo dynamic analysis,11.655121,7.9587393,46
turbine inlet temperature,9.927927,4.607423,46
combined cycle power plants,10.654381,2.71626,46
carbon monoxide,11.774747,-10.594478,-1
compressed natural gas,1.2357371,-2.5718265,6
engines,6.690505,11.90345,27
one dimensional,10.851978,6.7721853,46
carbon monoxide emissions,11.755915,-10.605049,-1
combustion efficiencies,13.885402,7.3646126,38
combustion velocities,13.870149,7.3273435,38
cross sectional area,9.954663,5.601382,46
high compression ratio,9.842623,5.320323,46
one-dimensional model,10.928767,6.7808065,46
operation conditions,9.877827,6.404131,46
restrictive conditions,9.781007,6.3972855,46
ignition,10.998966,1.1841354,30
matlab,6.686516,6.3932004,-1
microgrids,10.313155,4.0753875,32
sustainable development,8.770252,11.831264,-1
clean energy,10.788067,3.7426267,42
financial results,9.830221,7.305988,46
grid-tied pv systems,10.915476,5.639048,46
high quality,4.5684066,9.2733,-1
matlab simulations,6.6865087,6.3931994,-1
modified designs,9.812247,7.954576,46
monitoring system,10.418591,6.436478,46
renewable resource,6.8212123,1.9440355,-1
monitoring,10.300561,6.2959843,46
carbon,7.7782736,7.428285,-1
compressed air energy storage,17.183783,4.9332876,9
costs,5.590136,8.831913,40
natural gas,18.459578,12.516118,7
planning,10.017087,7.6835833,46
solar energy,14.092425,12.096037,31
sustainable development,8.725433,11.873999,-1
wind power,13.418446,8.44108,-1
absorption mechanisms,10.5395355,5.260553,46
carbon neutralities,7.7783527,7.428256,-1
carbon neutrals,7.779522,7.4267945,-1
electricity generation,14.33238,12.484983,-1
natural gas price,9.096867,6.931184,46
new energy industries,10.353107,5.9303565,46
new energy sources,10.788418,3.687668,42
technical research,9.967745,6.868713,46
coal industry,5.2016425,4.956745,-1
biogas,1.7077236,9.219974,-1
dissociation,10.979251,6.1185036,46
energy efficiency,19.029135,5.333378,21
environmental impact,7.9952483,5.443076,46
gas emissions,6.389949,-1.8060976,28
hydration,7.431636,6.3317533,-1
life cycle,11.173939,-2.523514,-1
methane,7.6407647,7.146301,35
molecules,10.504591,5.9725156,46
roads and streets,8.9794445,7.0918536,46
crystalline structure,10.198775,5.6275945,46
dissociation process,10.848105,6.101862,46
electricity demands,10.997313,4.1383033,46
energy performance,18.910728,5.3494387,21
hydrate formation,7.508351,6.2933464,-1
methane molecules,7.6241384,7.1677575,35
renewable energies,10.57336,5.684517,-1
technical systems,10.3668165,6.728012,46
gas hydrates,4.438489,9.373082,-1
automobile cooling systems,9.982307,3.782793,46
automobile manufacture,10.763955,13.656047,-1
battery pack,11.098053,6.1525726,-1
cogeneration plants,11.203024,5.992764,46
combustion,13.85334,7.334643,38
combustion equipment,11.082231,5.2472463,46
