,x,y,label
investment costs,9.43185,7.3870707,46
maritime transport,9.146969,7.053967,46
passenger vessels,8.428802,7.2524514,46
natural gas vehicles,15.077877,11.692279,25
benchmarking,10.521694,6.3318696,46
biopulping,10.358161,4.125195,32
carbon dioxide,11.868847,2.7742267,0
costs,5.6227474,8.791487,40
earnings,9.316818,7.166266,46
economic analysis,10.592492,8.829096,46
fluidized bed process,10.499555,5.5630846,46
fluidized beds,10.497052,5.5691214,46
gases,7.817588,-2.8567111,1
gasification,11.306006,8.006009,39
investments,19.329683,9.932825,-1
natural gas well production,12.17282,3.7171388,-1
paper and pulp mills,9.926366,5.8267994,46
pulp materials,10.040404,5.7960157,46
sensitivity analysis,12.49572,8.154187,-1
wood products,9.720748,5.6317487,46
black liquor gasification,11.328803,7.971837,39
circulating fluidized bed,10.499319,5.5602603,46
compressed natural gasses (cng),-6.1938367,8.609525,29
direct causticizations,10.380724,6.5053854,46
key performance indicators,9.2660675,7.0890627,46
non wood pulps,9.755396,5.6445103,46
poly-generation,10.49509,5.7179236,46
total capital investments,9.515669,7.433881,46
compressed natural gas,1.2620608,-2.376388,6
biomass,11.228306,8.058041,39
economic analysis,10.585543,8.836404,46
gas production,9.471479,4.4043765,46
natural gas,18.485773,12.643146,7
oxygen,9.909117,7.0998898,-1
performance assessment,9.757292,11.2483635,-1
polymer,10.14336,5.5190125,46
price determination,9.554736,6.614805,46
sensitivity analysis,12.496971,8.155426,-1
straw,9.571146,4.6544366,46
carbon dioxide,11.847161,2.7627199,0
costs,5.5879693,8.832303,40
economic analysis,10.589363,8.835802,46
fluidized beds,10.496332,5.5688562,46
gasification,11.306147,8.005834,39
triticum aestivum,10.337388,4.088363,32
air quality,4.3922377,9.352001,-1
carbon dioxide,11.867294,2.7529368,0
compressed natural gas,1.4322832,-2.4481614,6
energy utilization,7.6103373,1.8522338,5
gas emissions,6.4232287,-1.8647478,28
powertrains,12.945081,3.4330015,-1
urban transportation,8.763995,6.781067,46
compressed natural gasses (cng),-6.180504,8.604463,29
control strategies,10.561959,7.149636,46
hybrid topologies,11.139238,6.1848016,46
particle number emission,9.672735,5.9021473,46
performance parameters,9.420388,8.5659275,46
pm10 mass,10.17288,3.9552665,32
real-world drive cycles,10.248102,6.313684,46
real-world driving cycles,10.184308,6.289959,46
buses,13.823072,4.260919,-1
automotive fuels,14.905733,-1.9874066,-1
energy management,12.090028,6.1769195,46
ethanol,7.413809,8.562175,8
functions,10.467614,6.5267544,46
gasoline,8.89538,5.6330514,4
automotive gasolines,14.870395,-1.9562227,-1
compressed natural gasses (cng),-6.1752844,8.592001,29
consumer response,9.748447,6.434722,46
demand for gasolines,14.852271,-1.9443511,-1
empirical analysis,10.805015,7.1051993,46
energy demands,10.997487,4.138416,46
price response,9.574282,6.587487,46
structural time series models,10.64758,6.7097015,46
compressed natural gas,1.2954344,-2.5110688,6
demand analysis,10.593441,8.845278,46
energy use,10.738028,3.6615324,42
ethanol,7.4062757,8.577752,8
fuel,9.66356,5.3582544,46
natural gas,18.473877,12.542753,7
price dynamics,10.046669,6.6999564,46
brazil,10.345785,4.415314,46
aquifers,9.451033,4.3526473,46
compressed air,10.817138,8.332221,24
computer aided engineering,6.9322534,5.8889112,-1
digital storage,2.8689399,2.6026256,-1
electric energy storage,14.936974,15.798802,-1
energy policy,9.172832,9.357197,-1
energy storage,7.339198,-0.5660529,26
hydrogeology,9.188751,4.8989477,46
natural gas,18.596704,12.641187,7
pressure vessels,4.084465,0.85520977,23
reliability analysis,11.337369,8.403662,46
sensitivity analysis,12.496757,8.15522,-1
underground gas storage,11.930141,5.993435,-1
compressed air energy storages (caes),9.912907,3.8182492,-1
energy storage technologies,10.935885,6.08099,46
geological formation,9.534818,5.0520854,46
natural gas storage,14.097197,5.977526,-1
potential sites,9.999252,7.0416703,46
renewable energies,10.569753,5.6791267,-1
underground natural gas storages,11.930605,5.9932504,-1
underground storage caverns,11.932506,5.9660125,-1
compressed air energy storage,17.17918,4.9579186,9
coal,5.2084694,4.95945,-1
coal combustion,11.436992,4.9807816,46
coal storage,12.787492,5.640256,37
compressed air,10.785224,8.294113,24
cost benefit analysis,15.700047,2.6373153,-1
costs,5.664102,8.754887,40
economic and social effects,8.377893,7.4105234,46
economics,9.882623,14.296949,-1
electric energy storage,14.931826,15.778689,-1
energy efficiency,19.028793,5.328165,21
fossil fuel power plants,12.347124,1.4678254,-1
gas emissions,6.3676424,-1.7813439,28
greenhouse gases,16.11165,8.102869,22
heat storage,13.529726,5.606055,-1
pressure vessels,4.1138735,0.8844105,23
renewable energy resources,15.551194,12.746724,-1
superchargers,6.76098,10.256915,-1
turbomachinery,5.956904,4.087929,-1
coal-fired power plant,10.763278,5.2490077,46
combustion emissions,9.019393,2.6758702,43
compressed air energy storages (caes),9.912951,3.8182888,-1
energy and exergy efficiency,11.069263,7.178298,-1
optimization analysis,9.040588,8.027718,45
renewable energy source,11.922218,0.6531159,-1
thermodynamic optimization,9.043514,7.955566,45
thermodynamic performance,11.071743,6.1012654,46
compressed air energy storage,17.200344,4.983813,9
caves,17.641535,0.8202572,-1
chloride minerals,10.010759,4.9450064,46
compressed air,10.79368,8.323984,24
electric energy storage,14.932198,15.777384,-1
geographic information systems,10.382141,6.921891,46
natural gas,18.495522,12.617688,7
pressure vessels,4.11017,0.8808458,23
salt deposits,10.516062,3.3083525,-1
sodium chloride,9.989322,4.9037685,46
underground gas storage,11.929964,5.9933095,-1
arc gis,10.341294,4.140024,32
cavern,11.973258,5.898901,-1
cheshire,10.326997,4.10509,32
compressed air energy storages (caes),9.912977,3.8183157,-1
electrical energy,11.11976,4.9918275,46
geographic information system software,10.408593,6.8739424,46
natural gas storage,14.097211,5.977517,-1
renewable sources,11.9181,0.6618482,-1
compressed air energy storage,17.181784,4.9380703,9
developing countries,9.731958,7.2737536,46
diesel engines,4.9375496,-0.1467874,20
gasoline,8.889602,5.645838,4
liquefied natural gas,11.422499,6.074622,15
mineral oils,9.569227,4.5522118,46
natural gas transportation,10.324569,6.890541,17
particles (particulate matter),6.589964,6.6280794,-1
particulate emissions,8.913644,5.2107196,-1
polycyclic aromatic hydrocarbons,10.229721,4.9750237,46
toxicity,10.61683,6.396544,46
chemical and biologicals,10.607014,5.7695904,46
compressed natural gasses (cng),-6.195895,8.582106,29
mutagenicity,10.355946,4.0989547,32
particulate characterizations,6.5895214,6.628162,-1
particulates,8.903269,5.2243166,-1
polycyclic aromatic hydrocarbons (pahs),10.230441,4.971129,46
public transportation systems,9.042728,7.47361,46
unregulated emissions,9.144787,3.0186613,43
compressed natural gas,1.2722113,-2.5892236,6
compressed natural gas,1.3803838,-2.4990747,6
diesel fuel,13.049034,1.7333803,-1
enzyme,10.435508,6.8230615,-1
gasoline,8.896193,5.632064,4
natural gas,18.506472,12.484894,7
polycyclic aromatic hydrocarbon,10.228446,4.978112,46
s9 metabolic enzyme,10.4366455,6.862273,-1
unclassified drug,9.457355,6.082494,46
gasoline,8.866098,5.66504,4
mutagenic agent,10.547254,6.4129105,46
natural gas,18.461521,12.524971,7
polycyclic aromatic hydrocarbon,10.229693,4.975882,46
compressed air,10.786575,8.312359,24
exhaust emission,3.6808925,4.0872927,14
mutagenicity,10.358966,4.1325107,32
natural gas,18.500618,12.674345,7
pah,10.2663355,4.036751,32
particulate matter,6.588573,6.62935,-1
toxicity,10.616532,6.3971195,46
traffic emission,10.611931,1.5339531,-1
adsorption,12.222145,3.4656634,-1
article,-1.4463551,17.85573,-1
bacterial strain,9.926908,5.887402,46
chemical structure,10.516391,5.762397,46
concentration (parameters),10.711186,5.4781866,46
controlled study,11.567335,7.67524,46
diesel engine,4.932408,-0.12832847,20
exhaust gas,9.21521,3.855117,-1
gasoline engine,8.482271,2.5743957,-1
india,10.441276,4.513883,46
motor vehicle,12.751463,5.467045,-1
mutagenicity,10.37316,4.0917244,32
nonhuman,10.310293,4.1751466,32
particle size,9.7672415,6.179286,46
particulate matter,6.5888777,6.628912,-1
safety,10.261191,6.2368717,46
salmonella,10.143735,4.0787244,32
air pollutant,5.982489,6.468132,-1
analysis,10.650696,7.7272696,46
city,9.538322,5.9606667,46
exhaust gas,9.214471,3.8558576,-1
mutagen testing,10.512013,6.3464212,46
toxicity,10.616786,6.396403,46
toxicity testing,10.586847,6.4390287,46
delhi,7.6705256,7.502323,-1
india,10.444116,4.5105023,46
salmonella,10.161206,4.0793395,32
air pollutants,5.9849544,6.4664116,-1
cities,9.544052,5.951791,46
gasoline,8.914152,5.6273966,4
motor vehicles,12.753725,5.4643674,-1
mutagenicity tests,10.509891,6.3424907,46
mutagens,10.598146,6.3542533,46
natural gas,18.5221,12.612156,7
polycyclic aromatic hydrocarbons,10.229858,4.9750314,46
salmonella,10.157048,4.075661,32
toxicity tests,10.611358,6.3953214,46
vehicle emissions,8.062067,7.311449,-1
bus transportation,8.778067,7.9058986,46
buses,13.825335,4.25866,-1
commerce,-2.7057698,5.210956,-1
compressed natural gas,1.468619,-2.5051274,6
costs,5.5943623,8.824549,40
energy utilization,7.609386,1.8444527,5
environmental design,9.4599285,8.955492,46
environmental technology,9.455092,8.95924,46
fuel cells,14.607071,13.086189,-1
life cycle,11.170789,-2.5239296,-1
linear programming,11.189963,6.7994075,46
nitrogen oxides,11.158929,5.155979,10
propulsion,7.6239805,9.101131,-1
economic input/ output analysis,10.585268,8.834165,46
fuel propulsion,7.6245294,9.100147,-1
input output model,10.559537,5.5204563,46
life-cycle assessments,11.908011,3.380876,-1
national renewable energy laboratory,10.186664,7.3097873,46
optimization modeling,9.042338,8.032115,45
production economics,9.913074,14.41648,-1
ultra-low sulfur diesel,10.107212,5.489994,46
environmental impact,7.995787,5.4444666,46
bus transport,8.818134,7.8784046,46
cost analysis,15.656927,2.665527,-1
design,9.80683,7.976473,46
environmental impact,7.96019,5.480863,46
input-output analysis,10.563054,5.544594,46
linear programing,11.180836,6.7746916,46
optimization,9.032733,8.05309,45
air purification,9.923217,4.8907948,46
atmospheric pressure,9.01983,4.5547314,46
atmospheric temperature,9.397406,3.5189908,46
biofuels,1.6208037,4.5083194,12
biogas,1.7076491,9.220447,-1
carbon dioxide,11.860579,2.754771,0
cryogenics,12.229997,5.174491,-1
diamond films,10.172264,3.9175596,32
distillation,9.41774,2.5474582,46
energy conservation,10.758594,-1.412298,-1
energy utilization,7.601066,1.8584341,5
fossil fuels,8.30265,3.7394927,2
gases,7.7874107,-2.869233,1
liquefaction,11.439112,8.050477,39
liquids,10.795559,3.7923708,46
low temperature production,9.66975,3.619453,46
methane,7.6355114,7.150492,35
natural gas,18.558077,12.641104,7
natural gas transportation,10.280129,6.9414716,17
purification,9.991284,5.050506,46
washing,9.0596075,6.646878,46
biogas upgrading,1.7020787,9.230233,-1
biomethane,10.3630085,4.0998936,32
energy consumption analysis,12.235927,5.9281807,46
low temperatures,9.669426,3.621273,46
low-temperature distillations,9.684327,3.6813645,46
synergistic integration,10.307209,6.8878074,46
thermodynamic performance,11.070808,6.100128,46
upgrading technologies,9.993015,7.117804,46
temperature,9.220903,2.288099,46
biofuel,1.6203512,4.507514,12
biogas,1.7061785,9.222528,-1
distillation,9.419956,2.548141,46
energy efficiency,19.024624,5.335387,21
low temperature,9.675232,3.5696268,46
methane,7.6608396,7.1853404,35
performance assessment,9.757341,11.248527,-1
technological change,9.713698,7.69663,46
thermodynamics,14.356011,7.053786,-1
alternative fuels,11.041355,7.1017637,3
biodiesel,-2.5927718,5.843979,-1
brakes,20.215187,4.4137497,-1
compressed natural gas,1.3539327,-2.4248915,6
diesel engines,4.9403996,-0.1554621,20
diesel fuels,7.654667,6.739547,-1
digital storage,2.8688748,2.6025956,-1
electrodes,10.528216,5.1960564,46
electrolytes,10.385394,5.383224,46
energy security,11.322385,7.5274615,-1
fossil fuels,8.314036,3.7307057,2
fuel storage,12.712319,5.5622964,37
fuel tanks,10.398259,4.734737,46
gas emissions,6.4364896,-1.8471949,28
gasoline,8.860262,5.678151,4
hydrogen economy,9.657431,3.6412618,-1
hydrogen fuels,7.1854963,-2.312167,-1
hydrogen production,3.7206519,6.4002852,-1
hydrogenation,10.229228,5.315422,46
investments,19.329823,9.933232,-1
liquefied gases,7.7701554,-2.788921,1
mixtures,11.975051,5.5117803,-1
sodium hydroxide,9.979246,4.890178,46
clean alternative fuel,10.145944,6.093381,46
compressed natural gasses (cng),-6.1688933,8.586579,29
compression ignition engine,11.300537,6.3474083,-1
hho-cng,7.7218094,9.062027,-1
hydroxy,9.860026,4.70992,46
performance and emissions,13.677894,11.720009,-1
pilot injection,10.643011,4.8103447,44
volumetric flow rate,10.187157,5.9442964,46
fuel additives,9.590219,4.623684,46
compressed air,10.809027,8.323649,24
cryogenic energy storage,7.3442173,-0.5610352,26
electric energy storage,14.931987,15.784855,-1
liquefied natural gas,11.391938,6.1272817,15
rankine cycle,7.874686,4.576566,-1
thermoanalysis,10.399116,4.112634,32
energy and exergy analysis,11.0635605,7.171108,-1
liquefaction process,11.431298,8.048431,39
liquefied natural gas (lng),2.046255,1.9339105,12
lng cold,9.754838,5.740714,46
organic rankine cycle(orc),7.8742375,4.5770903,-1
organic rankine cycles,7.8745785,4.576667,-1
thermo dynamic analysis,11.656573,7.9588575,46
thermodynamics analysis,14.356436,7.0541677,-1
energy efficiency,19.027634,5.328701,21
energy storage,7.327918,-0.57740647,26
liquefaction,11.438707,8.050405,39
liquefied natural gas,11.392402,6.1154437,15
operations technology,9.931862,7.0152473,46
parameterization,11.09942,6.77432,46
power plant,11.160524,5.6401696,46
thermodynamics,14.355719,7.053361,-1
carbon dioxide,11.89327,2.714384,0
compressors,10.961863,2.0162966,-1
costs,5.590755,8.828903,40
diesel engines,4.9429264,-0.15991749,20
energy management,12.090528,6.1767545,46
energy utilization,7.5629044,1.8938044,5
fueling,9.515798,6.144192,46
gas emissions,6.339065,-1.7830541,28
gasoline,8.889136,5.638164,4
global warming,5.137841,1.6732893,14
natural gas vehicles,15.072797,11.699034,25
natural gas wells,18.482304,12.454427,7
optimization,9.039641,8.031249,45
propulsion,7.623679,9.101429,-1
scheduling,9.856882,6.948086,46
carbon dioxide emissions,7.448229,1.85971,-1
cost of operations,9.163131,7.600063,46
demand response,9.780519,6.416097,46
economic scheduling,9.381881,7.0996876,46
economical operation,9.932817,6.467703,46
electricity pricing,8.839193,6.8662934,46
optimal scheduling,9.859893,6.943204,46
time-of-use tariffs,10.5198765,6.0130444,46
compressed natural gas,1.3544855,-2.5589855,6
carbon dioxide,11.896381,2.7077963,0
carbon emission,7.450769,1.8414533,-1
demand analysis,10.590017,8.841491,46
diesel engine,4.926194,-0.11963867,20
economic conditions,9.465515,6.892423,46
electricity,9.504705,-0.13012917,-1
energy planning,11.553828,5.4444685,46
natural gas,18.526999,12.623645,7
optimization,9.041863,8.030749,45
price determination,9.5577135,6.6140323,46
strategic approach,10.011795,7.6642613,46
compressibility,13.28563,4.4281535,-1
effective stress,10.110389,5.823981,46
electric field,11.445475,4.490142,46
fine grained sediment,9.459519,4.7284017,46
fines,5.6238575,8.817928,40
gas hydrate,4.439597,9.371511,-1
methane,7.6271915,7.1554,35
sediment property,9.507236,4.7457643,46
sedimentation,9.536141,4.6989136,46
compressed air,10.782877,8.29594,24
compressed natural gas,1.3669018,-2.4684205,6
efficiency,10.904563,6.7862377,46
gas turbines,12.129928,9.992115,36
integration,10.307401,6.8846817,46
pressure vessels,4.0980315,0.8687633,23
steam engineering,7.8877115,5.154745,-1
compressed air energy storages (caes),9.912943,3.818287,-1
gas turbine combustor,11.893098,9.587264,36
independent operations,9.929358,7.008297,46
natural gas combined cycles,11.01196,5.029577,46
power,10.728578,5.0437045,46
synergistic effect,10.112946,4.921691,46
thermal integration,9.888345,4.8728414,-1
turbine inlet temperature,9.924794,4.610933,46
compressed air energy storage,17.183167,4.944093,9
halogen,8.770277,4.53273,18
natural gas,18.515163,12.522716,7
rain,10.132138,4.8993115,46
water,9.81263,4.769561,46
article,-1.4445419,17.85734,-1
carbon footprint,11.380227,0.905315,-1
climate change,11.636985,-0.405326,-1
environment,9.651909,5.5249157,46
food,9.83645,5.5219154,46
harvesting,9.718029,5.809629,46
health care,9.655686,6.304969,46
health care personnel,9.658877,6.2976375,46
hospital waste,9.559514,5.194787,46
observational study,11.574907,7.6825128,46
recycling,9.05524,5.940919,46
retrospective study,12.099072,8.313798,46
tertiary care center,9.656324,6.322576,46
traffic and transport,8.526796,6.823782,46
waste management,9.782467,4.9024034,46
world health organization,9.678325,6.342784,46
billets (metal bars),10.623793,5.2453303,46
compressed natural gas,1.2920134,-2.5028436,6
cylinders (shapes),14.82267,5.0154757,-1
deep drawing,10.096569,5.369512,46
drawing (forming),14.822634,5.015531,-1
fatigue of materials,10.157443,5.8665485,46
gas cylinders,12.813085,5.6798253,37
gases,7.784067,-2.8975863,1
pressure vessels,4.0884547,0.85981786,23
reliability,11.502712,8.67598,46
cold flows,10.132995,4.7638326,46
compressed natural gasses (cng),-6.179453,8.597123,29
conventional manufacturing,10.039486,6.878911,46
deep-drawing process,10.173855,5.482922,46
enhanced fatigue lives,10.149502,6.004774,46
failure mode and effect analysis,10.310943,6.549951,46
manufacturing process,10.033936,6.7321625,46
risk priority number,10.389578,7.727951,46
reliability analysis,11.338179,8.4143305,46
cryogenic liquids,10.671328,4.848857,46
electric power transmission networks,12.549894,6.153666,-1
electrolysis,8.691822,4.50563,18
electrolytic cells,10.339516,5.533073,46
fuel cells,14.607782,13.0895,-1
hydrogen storage,11.453416,1.1127516,-1
liquefaction,11.43855,8.0503645,39
liquefied gases,7.7721586,-2.793777,1
natural resources,11.278951,7.857651,19
renewable energy resources,15.55146,12.746772,-1
tanks (containers),14.840514,4.967329,-1
electrolysis of waters,9.786777,4.3158445,46
energy productions,10.646869,6.040575,46
fuel cell technologies,10.111876,5.228069,46
generate electricity,9.505995,-0.12932415,-1
hydrogen transport,8.747492,4.553227,18
liquid hydrogen storage,11.454234,1.1141804,-1
renewable energy source,11.921766,0.65371895,-1
transportation distance,8.873679,7.7035923,46
hydrogen production,3.7209775,6.4008307,-1
carbon dioxide,11.899015,2.7327664,0
compressed air,10.847091,8.337485,24
compressed air energy storage,17.186327,4.9396944,9
compressed natural gas,1.4128206,-2.450187,6
gas plants,5.9651527,6.650339,-1
nuclear fuels,10.953888,4.534975,46
nuclear power plants,10.99233,4.4409966,46
pressure vessels,4.097815,0.86918116,23
temperature,9.301254,2.3686416,46
thermoelectric power plants,10.600253,4.896859,-1
waste heat,9.088413,1.5562828,-1
wind turbines,15.014231,7.67615,-1
co2 reduction,9.053449,2.743401,43
nuclear plant,10.991141,4.442623,46
power plant design,11.149348,5.642912,46
power plant efficiency,11.156929,5.642265,46
renewable energy storages,11.32037,5.267344,46
thermal power plants,10.766628,2.8550866,46
plant shutdowns,10.957406,5.734525,46
data mining,10.470044,6.7934504,46
energy efficiency,19.028748,5.326605,21
filling,10.149959,6.3460636,46
filling stations,9.655369,6.025621,46
abnormal behavior,10.166732,6.236529,46
compressed natural gasses (cng),-6.1807294,8.601744,29
energy efficient systems,10.76365,6.0107923,46
final pressure,9.734326,4.7904425,46
initial pressure,9.741937,4.797257,46
compressed natural gas,1.3624601,-2.5463917,6
alternative fuels,11.070611,7.0652547,3
automobiles,11.620016,5.0298247,-1
compressed natural gas,1.4912394,-2.5121195,6
costs,5.5804133,8.844404,40
decision making,9.918997,9.471334,-1
energy policy,9.173506,9.356469,-1
fuel storage,12.750461,5.6026955,37
gas supply,8.988398,6.307006,-1
gases,7.8130407,-2.8530786,1
investments,19.330357,9.932959,-1
liquefied natural gas,11.434257,6.0504694,15
pipelines,8.9337845,5.0824714,46
supply chains,0.3617116,5.673584,-1
trucks,4.575555,11.726978,-1
decision making process,9.919654,9.465733,-1
liquefied natural gas (lng),2.040815,1.9287584,12
mixed integer linear programming,11.17663,6.7818384,46
mixed integer linear programming (milp),11.177509,6.781693,46
optimal supply chain,7.2195497,5.1617527,-1
regional distribution,10.1602745,6.499762,46
synthetic natural gas,7.897165,0.9881159,-1
through transmission,12.359709,6.17461,-1
integer programming,11.231344,6.7832446,46
combustion,13.888084,7.304298,38
compressed natural gas,1.3083202,-2.4951081,6
engines,6.6238256,11.97124,27
gases,7.8331947,-2.83208,1
kinetic energy,11.429889,6.078586,46
kinetics,14.193029,6.912829,-1
mixtures,11.975482,5.511257,-1
natural gas fields,12.254397,6.636842,-1
combustion characteristics,12.162961,8.124811,-1
compression stroke,10.976482,5.4277906,46
concentration distributions,10.273288,6.14614,46
concentration fields,10.464902,6.003119,46
flame propagation mechanisms,10.321846,5.9632196,46
formation mechanism,10.575613,5.9220505,46
injection method,10.678604,5.1744456,44
mixture formation,9.801438,4.93139,46
direct injection,10.946085,5.2590647,44
acidification,7.8265567,5.858132,-1
alternative fuels,11.0806,7.0717797,3
combustion,13.814022,7.3653483,38
compressed natural gas,1.3871851,-2.5202172,6
energy resources,11.448634,8.083122,19
engines,6.645835,11.962904,27
environmental impact,7.9956203,5.44778,46
environmental impact assessments,9.654945,7.426515,46
eutrophication,7.8265586,5.858161,-1
fuels,10.933532,2.6418495,33
gasoline,8.896588,5.6362267,4
global warming,5.1333904,1.6687865,14
hybrid vehicles,9.399576,13.239052,-1
internal combustion engines,10.590009,-4.5187445,13
life cycle,11.172224,-2.526857,-1
liquefied petroleum gas,16.580067,3.7598233,-1
natural gas vehicles,15.072174,11.700313,25
ozone layer,10.010271,5.3122864,-1
raw materials,10.094889,5.7890453,46
sustainable development,8.690357,11.91474,-1
toxicity,10.6162615,6.3967376,46
transportation,8.872524,7.707227,46
vehicles,6.3440533,9.692082,41
comparative life cycle assessment,11.908357,3.3803127,-1
comprehensive comparisons,10.590653,7.3787336,46
energy,10.913696,5.3448744,46
internal combustion engine vehicles,10.595917,-4.5127683,13
life cycle assessment (lca),11.910241,3.3775818,-1
life-cycle environmental impact,11.906138,3.3847108,-1
plug in hybrid electric vehicles,11.398034,5.7734084,46
primary energy resources,11.456124,8.0906725,19
plug-in hybrid vehicles,10.954795,5.8081126,46
ammonia,3.5287485,6.453601,-1
diesel fuel,13.098912,1.6838775,-1
fuel,9.665025,5.350295,46
gasoline,8.882305,5.6439743,4
hydrogen,8.745111,4.4164524,18
liquefied petroleum gas,16.58303,3.7601323,-1
methanol,9.67847,16.59289,-1
natural gas,18.579535,12.677206,7
acidification,7.8265657,5.858164,-1
alternative fuel,16.159262,5.300831,-1
combustion,13.859941,7.3450174,38
comparative study,12.160973,8.394156,46
electric vehicle,11.76281,5.493344,46
engine,4.8825006,-0.08371592,20
environmental impact assessment,9.653002,7.4265337,46
life cycle analysis,13.657266,4.962556,37
acidification,7.8265576,5.8581395,-1
article,-1.445732,17.856335,-1
combustion,13.845982,7.341792,38
comparative study,12.160893,8.394061,46
controlled study,11.567388,7.675173,46
ecotoxicity,10.316685,4.0872893,32
electric vehicle,11.764029,5.4922137,46
electricity,9.505269,-0.13109356,-1
energy resource,11.516386,8.1819315,19
environmental impact assessment,9.66164,7.4206357,46
environmental sustainability,9.02469,7.5660157,46
eutrophication,7.8265715,5.8581443,-1
greenhouse effect,16.511284,5.5565696,22
health hazard,9.963584,6.2053537,46
hybrid electric vehicle,11.444138,5.725541,46
life cycle assessment,11.908098,3.3803632,-1
motor vehicle,12.756595,5.4738865,-1
ozone depletion,9.929066,5.2315135,-1
traffic and transport,8.526523,6.8234982,46
waste disposal,9.0571575,5.943817,46
budget control,10.634639,6.536076,46
bus transportation,8.823565,7.8715634,46
buses,13.830981,4.2530556,-1
compressed natural gas,1.4525703,-2.515378,6
cost benefit analysis,15.659806,2.6635892,-1
costs,5.6180654,8.8536415,40
emission control,15.586122,9.2881975,-1
gas emissions,6.406894,-1.8196154,28
integer programming,11.231727,6.783851,46
operating costs,9.161917,7.5909896,46
problem solving,10.037636,6.908488,46
vehicle routing,9.799154,6.649829,46
vehicles,6.3438993,9.692163,41
bus fleet managements,8.856566,7.7649603,46
bus services,8.839204,7.8508244,46
electric bus,11.656138,5.7301397,46
emissions reduction,9.0323105,3.519223,43
vehicle replacements,9.829189,6.6360254,46
fleet operations,8.671541,8.668337,-1
bus transport,8.825785,7.8699737,46
cost-benefit analysis,10.651475,6.3318305,46
electric vehicle,11.806037,5.450078,46
emission control,15.577301,9.279514,-1
optimization,9.040371,8.030169,45
strategic approach,9.996894,7.6772733,46
transportation planning,8.867252,7.714087,46
china,10.293487,3.6668527,46
hong kong,10.271305,4.346871,46
biogas,1.7076671,9.22109,-1
brakes,20.215183,4.413748,-1
compressed natural gas,1.3932678,-2.5170054,6
compression ratio (machinery),9.531739,5.2659655,-1
diesel engines,4.942422,-0.16100232,20
direct injection,10.945535,5.2592587,44
economic and social effects,8.378026,7.4102955,46
energy utilization,7.613781,1.8486667,5
engine cylinders,8.146086,-3.4903576,-1
esters,9.847097,4.6832876,46
ethers,9.861431,4.7218122,46
brake thermal efficiency,9.862955,4.884394,-1
combustion performance,13.664307,7.2897015,38
direct injection diesel engines,10.648802,4.968003,44
heat release rate (hrr),9.7404585,3.9424617,46
lower emissions,8.999345,3.4794044,43
shorter ignition delay,11.0170965,1.2209415,30
single cylinders,9.908664,5.0973153,46
specific energy consumption,10.258612,5.3120203,46
dual fuel engines,3.824234,-2.462464,-1
boundary conditions,9.567881,5.0032187,46
combustion,13.856761,7.333672,38
computational fluid dynamics,12.754085,7.676034,46
direct injection,10.946512,5.2589827,44
engine cylinders,8.150418,-3.4872415,-1
flow fields,10.526455,6.0755076,46
flow visualization,10.768948,6.7535796,46
gas emissions,6.398326,-1.8112346,28
gas fuel analysis,4.251976,3.0720017,-1
holographic interferometry,10.707628,5.761544,46
holography,10.709014,5.810636,46
interferometry,10.707585,5.7958527,46
kinetic energy,11.42934,6.0775824,46
kinetics,14.226266,6.9412637,-1
large eddy simulation,11.091133,7.2241573,46
mixing,9.854677,6.953014,46
navier stokes equations,11.258919,6.7173643,46
stereo image processing,10.392827,6.6414566,46
supersonic aerodynamics,7.696133,9.04099,-1
supersonic flow,10.492691,5.8400736,46
tomography,10.675315,5.7224975,46
turbomachinery,5.9563446,4.087293,-1
turbulence,10.881708,6.006824,46
turbulent flow,10.530414,5.8252745,46
velocimeters,10.313498,4.1151505,32
velocity,10.52029,5.9512706,46
velocity measurement,10.517015,5.968821,46
vortex flow,10.508975,5.8403945,46
compressed natural gasses (cng),-6.1811447,8.591002,29
cycle to cycle fluctuations,10.318891,5.0955496,46
high injection pressures,10.700446,5.0190253,44
indicated thermal efficiency,9.86674,4.8809233,-1
particle image velocimetries,10.008541,6.361779,46
stereoscopic particle image velocimetry,10.117016,6.4448376,46
tomographic,10.677939,5.68304,46
unsteady reynolds-averaged navier-stokes,11.194894,6.6710987,46
compressed natural gas,1.346264,-2.4398444,6
bus transport,8.82332,7.8723016,46
electric vehicle,11.7669115,5.489487,46
optimization,9.040965,8.030299,45
public transport,9.175355,6.6970773,46
spatiotemporal analysis,10.452865,6.7586074,46
transportation planning,8.867815,7.712213,46
united states,5.3462067,10.477678,-1
utah,10.190305,5.401187,46
ammonia,3.5287745,6.453573,-1
ammonium hydroxide,9.972608,4.880889,46
atmospheric temperature,9.397663,3.5198143,46
combined cycle power plants,10.654464,2.717052,46
compressed air,10.78604,8.300291,24
compressibility of gases,13.289071,4.4270043,-1
compressors,10.9618,2.0163357,-1
coolants,9.374844,4.190042,46
cooling,10.17204,3.7228413,46
gas compressors,7.230153,5.118121,-1
gas plants,5.9651523,6.650371,-1
gas turbines,12.19148,9.96401,36
mixtures,11.974805,5.5118666,-1
steam power plants,11.176158,5.631465,46
steam turbines,10.29093,3.3226545,46
temperature,9.302402,2.3698032,46
turbomachine blades,8.214599,5.770607,46
waste heat,9.088594,1.5563881,-1
ammonia-water mixture,9.705754,4.6570487,46
